22288,5/1/1997
22187,3/25/1997
22107,3/18/1997
23152,2/18/1997
23193,12/19/1996
22440,11/8/1996
22648,9/10/1996
22439,6/13/1996
23204,4/24/1996
22281,4/24/1996
22876,2/9/1996
22658,12/28/1995
22714,9/27/1995
22282,3/2/1995
23136,2/7/1995
22781,12/20/1994
22543,12/14/1994
22542,12/12/1994
23203,10/11/1994
nan,9/30/1994
23202,9/12/1994
319229,9/6/1994
23122,8/25/1994
22522,6/14/1994
22731,5/19/1994
22464,1/6/1994
22504,1/6/1994
22532,12/22/1993
22091,9/30/1993
23093,8/26/1993
22420,7/22/1993
22770,7/2/1993
22519,6/4/1993
22053,4/8/1993
22190,3/29/1993
22662,3/17/1993
22709,2/18/1993
22059,2/10/1993
22690,2/2/1993
22665,1/8/1993
22060,12/21/1992
22430,10/15/1992
23194,9/30/1992
22058,9/25/1992
23102,7/30/1992
22677,7/29/1992
23125,4/12/1992
23091,4/9/1992
22436,2/25/1992
nan,2/5/1992
22624,12/13/1991
22511,11/15/1991
74365,8/5/1991
nan,7/29/1991
22583,7/25/1991
22435,6/28/1991
22129,1/29/1991
22541,11/19/1990
nan,8/13/1990
23117,8/8/1990
nan,6/20/1990
22523,6/19/1990
22780,6/18/1990
23088,5/21/1990
22193,2/14/1990
22194,2/6/1990
23162,2/1/1990
22318,11/20/1989
22287,10/10/1989
74291,10/10/1989
315700,6/26/1989
22317,6/22/1989
22671,5/22/1989
22192,3/22/1989
22291,11/25/1988
22875,11/23/1988
22910,7/25/1988
nan,7/13/1988
22927,6/27/1988
nan,6/21/1988
22468,5/4/1988
22618,4/22/1988
22071,1/27/1988
22826,12/14/1987
73715,11/2/1987
22502,9/25/1987
99864,7/22/1987
22186,7/8/1987
nan,6/12/1987
22434,6/4/1987
1019958,3/19/1987
22125,3/9/1987
22909,1/30/1987
22765,1/27/1987
22673,9/17/1986
22433,8/4/1986
22679,7/24/1986
73457,5/2/1986
22647,4/24/1986
22676,3/19/1986
22943,2/12/1986
73467,1/16/1986
22928,12/6/1985
99831,9/30/1985
22183,9/30/1985
1020291,6/20/1985
22688,3/11/1985
22182,12/20/1984
22248,8/24/1984
22452,8/24/1984
22888,7/31/1984
74300,7/26/1984
23153,7/18/1984
22127,6/18/1984
22429,2/28/1984
22640,1/30/1984
22491,1/3/1984
22661,11/15/1983
22763,11/7/1983
99859,10/28/1983
22529,9/26/1983
22824,9/23/1983
22771,8/5/1983
22779,7/28/1983
22573,7/12/1983
22639,6/23/1983
22239,4/19/1983
23090,3/18/1983
23159,3/3/1983
22126,2/7/1983
99865,2/1/1983
22124,12/3/1982
22275,9/20/1982
74288,9/20/1982
22123,9/17/1982
22680,9/7/1982
22245,8/20/1982
22525,6/10/1982
22646,3/3/1982
22120,10/22/1981
22121,10/22/1981
22643,10/16/1981
22644,10/16/1981
22569,7/20/1981
22531,5/30/1981
23099,2/13/1981
22524,1/22/1981
23161,12/12/1980
22761,10/31/1980
22422,10/28/1980
22582,10/16/1980
22760,10/10/1980
1027328,10/10/1980
22622,9/25/1980
22572,8/8/1980
22027,8/8/1980
22224,4/4/1980
22527,10/16/1979
22544,9/24/1979
23146,7/24/1979
23147,4/9/1979
22635,3/26/1979
22421,2/26/1979
638510,7/19/1978
23145,5/24/1978
780197,4/1/1978
22744,3/27/1978
1021088,3/7/1978
22449,9/28/1977
244560,9/21/1977
22489,9/16/1977
22418,8/24/1977
22592,8/15/1977
22416,6/29/1977
22756,6/24/1977
22045,5/27/1977
22579,4/5/1977
22755,3/25/1977
22591,2/24/1977
23123,2/10/1977
23163,2/4/1977
22652,12/27/1976
73545,12/2/1976
22581,10/20/1976
22710,4/21/1976
22528,4/15/1976
99858,4/7/1976
23018,1/1/1976
22813,9/26/1975
22571,5/1/1975
23092,4/7/1975
23009,4/1/1975
215166,1/1/1975
22286,7/29/1974
22095,7/29/1974
23157,1/8/1974
74354,4/5/1973
74289,2/14/1973
22277,2/14/1973
22570,11/24/1972
23052,11/8/1972
22633,9/27/1972
22642,5/19/1972
23154,3/28/1972
22568,1/18/1972
1024366,10/21/1971
1020233,7/29/1971
23216,12/8/1970
22484,11/9/1970
23101,9/17/1970
22460,6/3/1970
22028,5/14/1970
22948,3/5/1970
22689,11/3/1969
22235,7/30/1969
23151,7/2/1969
23100,11/26/1968
23199,7/18/1968
23118,3/20/1967
22874,5/5/1966
23251,3/16/1966
22577,2/8/1966
22873,2/8/1966
22482,1/5/1966
22767,9/17/1965
22766,9/3/1965
22762,8/11/1965
22273,1/1/1965
74286,1/1/1965
22446,7/19/1963
